kalimat,kategori_teks
"""Adapun proyek ini merupakan multiyears contract (MYC) dengan anggaran APBN sebesar Rp 334,85 miliar.""",ekonomi
"""Ada sejumlah cara isi ulang saldo Mandiri e-Money atau cara top up Mandiri e-Money tahun 2019 dan lokasi top up Mandiri e-Money.""",ekonomi
"""Ada tiga hal yang dilakukan Pemprov Jateng untuk mengembangkan UKM.""",ekonomi
"“Ada yang upah minimumnya sudah kecil, tetap aja tidak dilaksanakan.""",ekonomi
"""Agar realisasi kawasan ini terwujud, HD mengaku segera membentuk tim percepatan.""",ekonomi
"""Agus menambahkan, terkait dengan pemenuhan logistik, khususnya permakanan, stok bahan pangan masih cukup untuk kebutuhan satu bulan ke depan.""",ekonomi
"""AHM juga mulai mengekspor secara utuh Honda ADV150 dan Supra GTR150 ke negara Filipina.""",ekonomi
"""Ahok diharapkan membawa perubahan dan memicu kinerja perusahaan minyak dan gas (migas) BUMN itu menjadi semakin baik.""",ekonomi
"""Airlangga pun menjelaskan, di tengah kondisi perekonomian global saat ini, ada potensi investasi masuk ke Indonesia untuk membangun sektor industri padat karya.""",ekonomi
"""Akan tetapi karena keterbatasan keuangan ayahnya, dia tidak bisa melanjutkan sekolah.""",ekonomi
"""Akibat kasus tersebut, diduga kerugian negara mencapai Rp10 miliar atau hampir 50 persen dari nilai proyek yang dianggarkan oleh Kementerian Pemuda dan Olahraga (Kemenpora) yakni sebesar Rp27 miliar,"" ujarnya.""",ekonomi
"""Akibatnya tentu kita tidak bisa mengejar PAD Rp 600 miliar per tahunnya,” ujar Edy.""",ekonomi
"""Aktivitas niaga di Pasar Baru Bekasi pada Sabtu 14 September 2019 jauh dari normal.""",ekonomi
"""Aktivitas perdagangan, baik ritel maupun perikanan menggeliat di sana sehingga pangsa pasar konsumen inilah yang ingin kami garap,"" imbuhnya.""",ekonomi
"""Akulaku sebagai salah satu platform penyedia kredit virtual, menyediakan layanan kredit multiguna untuk masyarakat Indonesia.""",ekonomi
"""Alasannya, menurut Junoasmono secara finansial proyek ini belum layak sehingga membutuhkan sokongan dana pemerintah.""",ekonomi
"""Alasan pemindahan karena terminal itu semakin sepi, demikian pula jumlah angkot berbahan bakar gas sudah berkurang.""",ekonomi
"""Alhamdulillah setelah sekian lama pengen punya brand sendiri akhirnya ada brand fe.z. ini dari namaku juga ternyata terinspirasi dari kota juga.""",ekonomi
"""Alhasil, usaha yang berlandaskan hobi ini pun dapat membantu keuangan Anda.""",ekonomi
"Alih-alih selalu membahas defisit yang membengkak, nyatanya ada masalah mendasar lain terkait gaji dokter dan penyedia layanan kesehatan lainnya.",ekonomi
Allianz Utama Indonesia menggunakan feedback nasabah dari hasil penilaian NPS (Net Promoter Score) sebagai dasar untuk melakukan pelayanan yang unggul.,ekonomi
Alokasi anggaran Angkatan Ruang Angkasa pun akhirnya dipastikan masuk pada hari Jumat (20/12) dengan penandatanganan anggaran tahunan militer AS sebesar AS$738 miliar (Rp10.303 triliun).,ekonomi
"Analis Senior CSA Research Institute Reza Priyambada di Jakarta, mengatakan pergerakan rupiah cenderung tertahan di tengah sentimen dari eksternal mengenai penolakan parlemen Inggris terhadap kesepakatan Brexit pada Selasa (15/1/2019) waktu setempat.",ekonomi
"""Anda (Indonesia) sepanjang tahun,"" kata Sarman kepada wartawan.",ekonomi
Anda tidak perlu lagi merekonsiliasi transaksi-transaksi Anda karena semuanya akan terekonsiliasi secara otomatis.,ekonomi
"Andriko juga menjelaskan bahwa program PMS ini ke depan tidak hanya berfokus pada budidaya sayuran dan buah, tapi juga komoditas pertanian lain, seperti tanaman pangan dan peternakan baik melalui program maupun usaha swadaya.",ekonomi
"Anggaran itu termasuk dari dana alokasi khusus (DAK) sebesar Rp 2,5 miliar dan digunakan untuk seluruh kegiatan di Disbudpar.",ekonomi
"“Anggaran perawatan sekitar Rp200 miliar per tahun, itu digunakan untuk pembelian suku cadang juga pengerjaan penggantian suku cadang bagi 1.100 kereta,” kata Direktur Utama KCI Wiwik Widayanti di Depo KRL Depok, Kamis.",ekonomi
Anggaran tersebut untuk pembangunan gedung perkuliahan.,ekonomi
Anggaran untuk produksi sudah dihabiskan.,ekonomi
Angka-angka tersebut diperoleh dari data pemerintah Australia yang baru-baru diterbitkan online.,ekonomi
Angka ini dikutip dari Laporan Keuangan PT Pertamina 2018 halaman 122 pada bagian “Kompensasi Manajemen Kunci dan Dewan Komisaris.”,ekonomi
"Angka itu sekaligus menjadikan salju tersebut tercatat sebagai rekor penjualan termahal di Jepang, dan mungkin di dunia.",ekonomi
"Anis menuturkan, saat ini, HK bersama Kementerian Keuangan dan lembaga keuangan juga tengah mengembangkan berbagai skema pembiayaan yang inovatif untuk menyukseskan pembangunan JTTS.",ekonomi
"Anton mengatakan, dari sembilan desa yang mendapatkan program berarti, yang sudah melakukan penandatanganan kontrak ada enam desa sehingga tinggal tiga desa yang belum dilakukan penandatanganan kontrak.",ekonomi
"Apabila Taspen menjadi holding asuransi maka bisa menyelamatkan nasabah ritel Jiwasraya dengan mengambil alih portofolionya,” jelasnya.",ekonomi
"Apakah perang promo dan diskon ini tujuannya untuk konsumen atau untuk menyingkirkan pesaingnya,” kata Ramli.",ekonomi
"Apalagi, Dekranasda juga sudah menyampaikan kesediaan untuk terlibat dengan membuka pameran produk kerajinan UMKM.",ekonomi
Apalagi perusahaan dapat surat dari kantor pajak.,ekonomi
Aramco Incar Lapangan Gas Baru di Amerika Serikat Produsen minyak Saudi Aramco berencana melancarkan ekspansi ke bisnis dengan mencari sumber gas di Amerika Serikat (AS).,ekonomi
Arinal menjelaskan merasa bangga sekaligus menjadi dorongan agar ekspor asal Lampung bisa naik hingga tiga kali lipat.,ekonomi
"Apapun yang terjadi, tugas kita adalah tetap fokus pada pelayanan bagi masyarakat.",ekonomi
Apa strategi Anda untuk menjalankan program pencegahan dan deradikalisasi yang efektif?,ekonomi
"Artinya jika setengahnya, maka untuk membangun transportasi kereta api, pemerintah membutuhkan uang Rp209,6 triliun.",ekonomi
"Artinya, nanti Sriwijaya Air bisa membayarkan utangnya kepada Garuda dengan memberikan sebagian sahamnya kepada maskapai berlogo burung Garuda ini.",ekonomi
"Artinya pemerintah harus benar-benar memberikan pemerataan di bidang ekonomi,"" katanya.",ekonomi
"Arya menjelaskan bahwa Kementerian BUMN akan memprioritaskan pembayaran total klaim jatuh tempo dari polis JS Plan senilai Rp15,7 triliun.",ekonomi
"Asalkan, pemerintah kota mampu mengemas Balikpapan sebagai kota wisata yang unggul, maka akan menjadi angin positif bagi industri perhotelan.",ekonomi
"Asfinawati mengatakan sebagai lembaga yang lahir di tengah maraknya korupsi di era Orde Baru, KPK kini sudah tak berguna lagi.",ekonomi
Atas penetapan RUPSLB BTN pada hari ini saya tidak dapat menerima keputusan itu.,ekonomi
Aturan tersebut akan merevisi Undang-Undang Nomor 40 Tahun 2004 tentang Sistem Jaminan Sosial Nasional.,ekonomi
 Aturan tersebut berdasarkan Peraturan Menteri Keuangan (PMK) Nomor 152/PMK.010/2019 tentang Perubahan Kedua atas PMK Nomor 136/PMK.010/2017 tentang Tarif Cukai Hasil Tembakau.,ekonomi
"Ayo saling menjual produk yang dimiliki,"" tuturnya.",ekonomi
"Badan Pajak Daerah Kabupaten Sidoarjo, kata dia, sudah bekerja sama dengan Bank Jatim, nantinya pajak yang terpotong secara otomatis tersebut akan masuk langsung ke rekening kas daerah.",ekonomi
"Bagaimanapun, kata Rhenald, Jiwasraya adalah perusahaan asuransi bagus dan sudah berpengalaman lebih dari 100 tahun.",ekonomi
"Bagi agen pemegang merek otomotif berskala besar seperti Toyota dan Mercedes-Benz, kesiapan investasi, produk, dan teknologi sepertinya bukan hambatan.",ekonomi
Baginya uang tak bisa membeli rumah peninggalan nenek moyangnya itu.,ekonomi
"Bahkan, belum lama ini, pihaknya telah mengekspor kayu olahan ke China dan Thailand.",ekonomi
"Bahkan, dari segi penjualan, Toyota telah sukses menjual lebih dari 1,75 juta unit.",ekonomi
Bahkan dengan kemajuan infrastruktur dalam lima tahun terakhir sangat membantu industri ini bisa melaju cepat.,ekonomi
Bahkan kelebihan stok beras ini dikirim ke beberapa pulau di luar Jawa.,ekonomi
"Bahkan, menurutnya produk ilegal tersebut kini lebih mudah beredar seiring perkembangan teknologi perdagangan.",ekonomi
Bahkan penjualan khusus gaming telah mengalahkan penjualan konvensional.,ekonomi
"Bahkan persentase penduduk miskin yang tersisa 9,66 persen, merupakan angka terendah sepanjang negeri ini merdeka.",ekonomi
"Bahkan tahun ini, Batam sudah berada di urutan kedua terbanyak yang dikunjungi wisatawan setelah Pulau Dewata, Bali.",ekonomi
BaliDeX merupakan sarana promosi dan peluang baru untuk meningkatkan omzet serta keuntungan perusahaan Indonesia.,ekonomi
"“Bank BRI akan terus berinovasi, baik melalui fitur dan program untuk mengembangkan layanan ini karena akan menjadi sumber pertumbuhan bisnis di masa mendatang,” pungkas Hari.",ekonomi
Bank Minyak Jelantah menukarnya dengan minyak murni.,ekonomi
Bank Royal Tidak Akan Digabung dengan BCA BCA memastikan tidak akan menggabungkan atau melakukan merger terhadap PT Bank Royal Indonesia seusai proses akuisisi rampung.,ekonomi
"Bank Sentral AS Federal Reserve telah memangkas tingkat suku bunga acuannya menjadi 1,75%-2% pada September 2019.",ekonomi
"""Bantuan Pemkab Dharmssraya masih ada.",ekonomi
"Banyak pengusaha besar, konglomerat yang usahanya dari sektor ini.",ekonomi
"Bawang putih lokal, tambah Sukarman, sudah dapat bersaing dengan produk impor.",ekonomi
Beberapa di antaranya mewariskan keturunan dengan desain yang mengalami penyempurnaan sehingga menjadi lebih efisien.,ekonomi
Beberapa lokasi penunjang pun dihadirkan yaitu gedung Convention Hall dengan kapasitas 600 orang.,ekonomi
Beberapa luasan tanaman perkebunan warga terendam serta jembatan penghubung yang berada di Desa Prapat Janji rusak.,ekonomi
"Beberapa negara Asia Pasifik, termasuk Indonesia, telah meluncurkan jaringan 4G pada frekuensi di bawah 1 GHz, tetapi hanya sebagian kecil dari spektrum yang tersedia di kawasan Asia Pasifik berada dalam kisaran ini.",ekonomi
"Beberapa waktu kemudian, seseorang datang ke rumah Simon membawa sertifikat tanah.",ekonomi
"Belanja Buah di Singapura, Harga Melon yang Dibeli Ruben Onsu…",ekonomi
Belasan macam kopi green bean Indonesia yang dipromosikan menarik perhatian pengunjung terutama specialty coffee.,ekonomi
"Benefit yang diterima oleh selaku partner Co-Branding Brizzi yaitu pihak partner tidak menanggung beban TUF sebesar 0,35 persen.",ekonomi
"BENGKULU, Bengkulu Ekspress – Terobosan Pemerintah Kota Bengkulu untuk mencapai target Pajak Bumi dan Bangunan (PBB) tampaknya sulit terealisasi.",ekonomi
"""Berarti rasio harga diterima petani dari usahanya lebih tinggi dibandingkan harga yang mereka bayar untuk pengeluaran usahanya.",ekonomi
"Berdasarkan data Bloomberg, harga saham emiten bersandi BIKA ini memimpin daftar penguatan saham () setelah ditutup melonjak 33,1 persen ke level Rp193 per lembar saham.",ekonomi
"Berdasarkan data BPS, ada 15,8 juta wisatawan mancanegara (wisman) yang datang ke Indonesia.",ekonomi
"Berdasarkan data BPS, jumlah ini meningkat sebesar 3,07 persen dari bulan sebelumnya sebesar Rp 4.759 per kilogram.",ekonomi
"Berdasarkan data Bursa Efek Indonesia (BEI), harga saham bersandi MAMI tersebut memimpin daftar saham terlemah (top losers) dengan ditutup anjlok 34,59 persen di level Rp121 per lembar saham.",ekonomi
"Berdasarkan data dari Dinas Koperasi Perindustrian dan Perdagangan (Diskoperindag) Kabupaten Indramayu, saat ini koperasi yang masih berdiri sebanyak 545. Padahal sebelum adanya pembubaran jumlah koperasi di Indramayu mencapai 1.033.",ekonomi
"Berdasarkan pengalaman sebelumnya, komoditas yang sering memicu inflasi adalah cabai merah.",ekonomi
"Beri waktu semisal 30 menit, cerita mengenai ekonomi kesejahteraannya, apa yang ke depan, ada tiktak, debat saling menyanggah, saling berargumentasi.",ekonomi
Besaran kompensasi dihitung berdasarkan jenis kerugian yang dialami korban.,ekonomi
"Biarlah pelabuhan Benoa khusus untuk pariwisata saja sehingga zonasi perekonomiannya tepat,” usul Kembang Hartawan ditemui Jumat (29/11).",ekonomi
Biaya kerja lapangan () bagi mahasiswa PhD.,ekonomi
"Bicara soal pembiayaan kesehatan melalui BPJS Kesehatan, Hasbullah menegaskan komitmen pendanaan pembiayaan Indonesia masih terbelakang dibanding negara lainnya.",ekonomi
"“Bila dimanfaatkan untuk kawasan terbuka maka kita beri diskon pajak hingga 50 persen, “kata Anies, Kamis (25/4).",ekonomi
"Bila dipersentasekan, terjadi penurunan 28 persen penerbangan dan 22 persen jumlah penumpang pada periode yang sama 2018 lalu.",ekonomi
Bila ditaksir ke rupiah nominalnya mencapai Rp7.,ekonomi
"Bimo menerangkan, pada intinya perubahan aturan Sistem Kliring Nasional Bank Indonesia (SKNBI) ini untuk menyempurnakan dari peraturan sebelumnya meningkatkan kualitas layanan dalam tranfer dana yang berlaku umum.",ekonomi
"Bisnis, JAKARTA — Harga batu bara berjangka kokas China terpeleset pada pekan lalu dan mencatatkan kerugian mingguan terbesar sejak November 2018.",ekonomi
"Bisnis, JAKARTA – Implementasi sistem pembelian tebu (SPT) model beli putus yang simpang siur oleh pabrik gula (PG) yang dikelola badan usaha milik negara (BUMN) membuat sebagian petani memilih menjual tebu produksinya ke PG swasta.",ekonomi
"Bisnis, JAKARTA — Kementerian Perhubungan menyatakan moda angkutan umum berbasis jalan di Pulau Jawa mulai bisa bersaing dengan kereta api seiring dengan beroperasinya jalan tol Trans-Jawa.",ekonomi
"Bisnis, JAKARTA – Kredit pada awal tahun ini diyakini bankir akan tumbuh positif dibandingkan dengan periode sebelumnya.",ekonomi
"Bisnis, JAKARTA – Potensi penurunan produksi karet nasional sebesar 15% diperkirakan masih bakal berlanjut kendati harga komoditas tersebut mencatat rekor kenaikan harga mingguan enam kali berturut-turut sejak 2015.",ekonomi
"Bisnis kami telah melihat pertumbuhan yang eksponensial dalam setahun terakhir, menjadikan aplikasi ini menjadi aplikasi yang paling banyak diunduh di Google Play Store dan App Store,"" katanya, Jumat (8/11/2019).",ekonomi
BPJPH memfasilitasi Unit Usaha Syariah CIMB Niaga (CIMB Niaga Syariah) untuk melakukan literasi keuangan Syariah kepada para pelaku industri halal mitra BPJPH.,ekonomi
"BPS mencatat pada tahun 1975 neraca perdagangan Indonesia mengalami defisit sebesar USD391,9 juta.",ekonomi
Brand asal China ini hadir di Asia Tenggara sejak September lalu.,ekonomi
"BRI pun telah mengelola lebih dari 1.501 nasabah prioritas dengan dana kelolaan lebih dari Rp1,7 triliun di wilayah Sumbar.",ekonomi
BSB Cash (produk E-Money) ini dapat digunakan untuk pembayaran non tunai yang sudah terdistribusi atau beredar di masyarakat.,ekonomi
Budi Hartono dan Michael Hartono masih menempati urutan teratas sebagai orang paling kaya di Indonesia.,ekonomi
"Bukan hanya berujung perceraian dalam waktu singkat, mahar yang diberikan sang mantan suami mencapai 2 miliar.",ekonomi
"Bunga utang Indonesia sampai 8,3 persen, sementara negara lain seperti Vietnam, Thailand, dan Filipina bunganya 4 sampai 5 persen.",ekonomi
"Busana tersebut adalah karya 115 desainer yang berasal dari 22 negara dan wilayah untuk memenangkan satu dari 34 penghargaan dan hadiah sebesar NZ$180,000.",ekonomi
"Buy 1 Get 1, Discount up to 70%, Cashback up to 50% menjadi andalan masing-masing brand untuk menarik perhatian para pengunjung.",ekonomi
Cadangan devisa juga masih berada jauh di atas standar kecukupan internasional.,ekonomi
"Cahaya Natural, Usaha Mikro Kecil dan Menengah (UMKM) pemenang Blibli.com Big Start Indonesia (BBSI), berencana memperkuat jaringan distribusi yang ada setelah memenangkan…",ekonomi
"Capaian tersebut diperoleh sepanjang lima hari penyelenggaraan pada 12-16 November 2019 dari 30 pembeli, 163 penjual, dan 273 peserta pameran.",ekonomi
Chief Executive Officer (CEO) Citibank Indonesia Batara Sianturi memprediksi penurunan nilai kredit yang disalurkan Citibank akan mencapai 10% hingga akhir tahun.,ekonomi
COM - Badan Penyelenggara Jaminan Sosial Kesehatan (BPJS) Ketenagakerjaan disebut memiliki potensi dana kelolaan Rp 100 triliun untuk membiayai rumah bagi pekerja yang terdaftar sebagai anggota BPJS Kete.,ekonomi
"COM, PALEMBANG optimis dengan tampilan barunya, New Astra Daihatsu Sigra bakal mampu penjualan 200 unit per bulan di Sumsel.",ekonomi
"Daftar 5 Bank yang Tawarkan Bunga Deposito Paling Tinggi, dari 6% hingga 7%, Berminat?",ekonomi
"Dalam hal ini, Jerry mengandalkan investasi di sektor jasa antara kedua negara, sehingga berdampak pada meningkatnya pertumbuhan ekonomi nasional.",ekonomi
"Dalam kesempatan yang sama, Ketua Fraksi PSI Jakarta, Idris Ahmad, memasalahkan Pemprov DKI baru merevisi rancangan APBD DKI yang mendadak turun Rp6,55 triliun, dari Rp95,99 triliun menjadi Rp89,44 triliun.",ekonomi
"Dalam kondisi perekonomian nasional dan global yang mengarah pada resesi akhir-akhir ini, biaya energi yang tinggi bukan saja mengurangi daya saing, tetapi juga dapat membuat sejumlah perusahaan gulung tikar.",ekonomi
"Dalam periode itu, Indonesia menjadi negara maju dengan pendapatan menurut hitung-hitungan Rp320 juta per kapita per tahun atau Rp27 juta per kapita per bulan.",ekonomi
"Dari anggaran ini, seharusnya setiap desa dapat mengalokasikan dana yang cukup untuk upaya pencegahan stunting secara strategis dan tepat sasaran, terutama untuk program intervensi gizi spesifik.",ekonomi
"“Dari anggaran pendapatan dan belanja ini, maka terdapat defisit anggaran sebesar Rp 1 miliar, sementara untuk penerimaan pembiayaan dianggarkan sebesar Rp 3 miliar dan pengeluaran pembiayaan sebesar Rp 2 miliar,” ungkap Fahmi.",ekonomi
Dari angka tersebut pasokan dari Indonesia kurang dari 1.000 ton per tahun.,ekonomi
"Dari data terkini, setidaknya ada 18 investor yang akan menanamkan modalnya di pada tahun 2020 besok.",ekonomi
"Dari data yang diterima, Gubsu menyebutkan target Sumut untuk mengumpulkan zakat sekitar Rp60 miliar.",ekonomi
"Dari kunjungan wisatawan di kawasan ini pada 2018 sebanyak 163.054 orang, 91.870 merupakan wisatawan mancanegara dan 71.184 wisatawan Nusantara.",ekonomi
Dari sektor PAD target Rp287 miliar dengan realisasi Rp157 miliar atau sebesar 54.95 persen.,ekonomi
Dari total tersebut 15 di antaranya sudah membangun pabrik di Indonesia.,ekonomi
"Dasuki menilai pertumbuhan kredit di area Kanwil 3 masih tetap tinggi karena permintaan hunian di wilayah Jawa Timur, Bali,NTB dan NTT terus tumbuh.",ekonomi
"Dengan demikian lanjut Kholid, maka siklus hama padi bisa terputus sehingga petani tidak mengalami kesulitan untuk memberantas hama yang selama ini meresahkan dan menyebabkan kerugian bahkan kegagalan panen.",ekonomi
"Dengan menempati asrama, tentu akan mengurangi biaya hidupnya yang saat ini tinggal di rumah kontrakan.",ekonomi
"""Dengan perjanjian kami dengan OPEC + kami seharusnya memproduksi 10,3 juta barel per hari, kami memilih untuk secara sukarela mengurangi produksi minyak kami ke tingkat yang lebih rendah dari itu,"" tambahnya.",ekonomi
Dengan perubahan kita tidak banyak berubah harga.,ekonomi
"“Dengan potensi ini, seharusnya kelapa sawit memang bisa masuk dalam undang-undang DBH,” katanya.",ekonomi
"Dengan realitas tersebut, kecenderungan impor beras akan semakin tinggi.",ekonomi
"Deputi Gubernur Bank Indonesia Dody Budi Waluyo dalam pembukaan FESyar di Grand City, Rabu (6/11).",ekonomi
"Deputy Director Marketing YIMM, Hendri Wijaya mengatakan bahwa harga akan berkisar di angka Rp 30 juta.",ekonomi
Desakan ekonomi dan taraf hidup yang semakin tinggi membuat sejumlah orang menggunakan jalan pintas untuk mendapatkan uang.,ekonomi
Dia dinobatkan sebagai salah satu 'Duta Petani Milenial' oleh Badan Penyuluhan dan Pengembangan Sumber Daya Manusia Pertanian (BPPSDMP) pada Kementerian Pertanian.,ekonomi
Dia juga mengatakan bahwa perangkat itu sudah memasuki tahapan produksi massal.,ekonomi
Dia juga terdaftar memiliki properti di Wina.,ekonomi
"Dia menambahkan, dengan meningkatnya keterampilan masyarakat di desa-desa, tentu kesejahteraan masyarakat juga lebih meningkat, angka kemiskinan dan pengangguran menurun.",ekonomi
Dia menambahkan harga tiket seharusnya tidak menjadi masalah bagi pemudik karena biasanya harga berapapun akan dibeli untuk bisa bertemu dengan keluarga di kampung halaman.,ekonomi
"Dia menambahkan, pihaknya tengah fokus membangun sepuluh destinasi Bali baru.",ekonomi
"Dia mengatakan, Pertamina berkomitmen akan melakukan penambahan sebanyak 50 persen dari kebutuhan sampai dengan Desember 2019.",ekonomi
"Dia menilai meskipun AS dan China telah memberikan sinyal positif terhadap kesepakatan perdagangan yang diprediksi terjadi pada bulan ini, pasar masih mencari kejelasan lebih lanjut terhadap sentimen tersebut.",ekonomi
"Dia menjelaskan, pergerakan ini dipengaruhi sejumlah dinamika ekonomi global, di mana perdagangan internasional melemah dan harga komoditas bergerak fluktuatif.",ekonomi
"Dia menjelaskan, saat ini perusahaan sedang menjalankan program Transformasi Bisnis Petrokimia Gresik (TBPG), dimana perusahaan ingin mewujudkan diri menjadi produsen pupuk dan bahan kimia untuk solusi agroindustri.",ekonomi
Dia menyebut bahwa kini pihaknya telah menyiapkan segala sesuatunya untuk mencapai target hamparan padi seluas 10 hektar tersebut.,ekonomi
"Di Amerika, biasanya pengurangan tarif standar USD12.000 sedangkan pasangan menikah pengurangan standar sebesar USD24.000.",ekonomi
"Dibanderol seharga ¥9,900, atau sekira Rp1,2 juta yang dinilai terjangkau untuk ukuran sepatu nyaman, trendi, dan canggih.",ekonomi
Di Indramayu harga cabai rawit merah masih Rp 80 ribu per kilogram.,ekonomi
"Dikutip dari siaran resmi, informasi tersebut diketahui dari pemantauan harga kebutuhan pokok masyarakat yang dipimpin langsung oleh Wali Kota Salatiga Yuliyanto, pada Senin (23/12/2019).",ekonomi
"Dilansir Business Insider, penghasilan Anna disebut-sebut mencapai USD 2 juta pertahunnya atau setara dengan Rp 29 miliar pertahun.",ekonomi
"Dilansir dari Reuters, penguatan nilai tukar yen didukung laporan media bahwa China menginginkan ruang lingkup perundingan perdagangan yang dijadwalkan berlangsung pekan ini.",ekonomi
"Dimana saat ini, kebutuhan beras Bumi Sai Wawai per tahunnya mencapai 15.000 ton.",ekonomi
"Di pasaran, ikan bandeng memiliki nilai jual yang tinggi, yakni Rp 15 ribu per kilogram.",ekonomi
Direktur Bisnis Bank Mayapada Andreas Wiryanto mengatakan perseroan melakukan untuk beberapa debitur dengan prospek pelunasan hutang rendah.,ekonomi
"Direktur Pengembangan Ekonomi Syariah dan Industri Halal Komite Nasional Keuangan Syariah (KNKS), Afdhal Aliasar.",ekonomi
"Direktur Utama Bank Bukopin, Eko Rachmansyah Gindo mengatakan skema layanan yang pertama yakni solusi pembiayaan pembayaran tagihan listrik yang dikenal dengan Flexy Bill.",ekonomi
"Dirinya juga mempunyai harta bergerak lainnya sebesar Rp573,5 juta.",ekonomi
Dirinya mendapat Nobel Ilmu Ekonomi pada 2007.,ekonomi
"Dirinya mengaku, produk Alkes jenis tube dan catheter akan difokuskan untuk memenuhi kebutuhan pasar di Korea Selatan sebanyak 70%.",ekonomi
Ditambah seluas sekitar 423 hektare lahan berstatus hak guna usaha (HGU) yang dikelola 97 perusahaan.,ekonomi
Dokumen tersebut akan menjabarkan rencana peminjaman ke ekonomi terbesar kedua di dunia itu.,ekonomi
Donasi tersebut dimanfaatkan untuk pembangunan jalan dan fasilitas umum di Palestina.,ekonomi
"Dukungan BNI juga dilakukan dengan membantu ketersediaan pasar melalui off taker, serta mendukung ke akses ke pasar ritel modern dan juga online.",ekonomi
"Hadirnya P30 Lite menjadi cara produsen smartphone asal China, Huawei, untuk menyasar segmen pasar menengah.",ekonomi
"Hal ini diikuti oleh surplus keseimbangan primer sebesar Rp 4,1 triliun.",ekonomi
"“Hal ini disebabkan tidak sinkronnya kebijakan Bulog di Pusat dan di Daerah,”tegas Huda.",ekonomi
Hal ini mempertimbangkan siklus kredit yang berada di bawah level optimum di tengah prospek permintaan yang tinggi.,ekonomi
Hal ini menandai investasi pertama Quona Capital di Indonesia.,ekonomi
Hal ini sejalan dengan upaya HP secara berkelanjutan mendukung UMKM setelah HP bermitra dengan Bangkok Bank dan Conclave.,ekonomi
"Hal ini terlihat dari belanja pegawai yang berada di angka 27,79 triliun rupiah atau 81,54 persen, sementara tahun 2017 belanja pegawai sebesar 23,74 triliun rupiah atau 88,88 persen.",ekonomi
Hanya bisa menjual 1 ton sehari.,ekonomi
"""Hanya dalam kurun waktu dua tahun Berrybenka telah memiliki lebih dari 20 Store yang tersebar di seluruh Indonesia mulai dari Jabodetabek, Sumatera, Jawa Bali, Lombok dan Palembang,"" tambah Beatrix.",ekonomi
"“Harapan kami, UMKM ini pada akhirnya dapatSebab Indonesia ini memiliki banyak sekali pelaku UMKM, namun belum ada satupun yang mampu melakukan penawaran umum perdana di bursa saham.",ekonomi
"Harga emas pada perdagangan Jum'at (27/12/2019) berakhir naik 0,24 persen atau 3,700 poin ke posisi US$1.514,40 per troy ounce.",ekonomi
Harga emas terangkat kuatnya data manufaktur AS. Sementara itu harga paladium turun setelah mencapai rekornya di level USD2.000 per ons.,ekonomi
Harga emas yang dijual PT Aneka Tambang Tbk turun pada perdagangan hari ini.,ekonomi
Harga rumah terus meningkat.,ekonomi
"“Harus kita akui realisasi pendapatan asli daerah tahun 2019 tidak tercapai,” kata Wali Kota Bekasi, Rahmat Effendi, Selasa (30/12/2019).",ekonomi
"“Hasilnya lebih baik dari yang diperkirakan, mungkin karena faktor akhir kuartal, tetapi pasar tidak akan menganggapnya sebagai sinyal titik balik,” ujar Zhou Hao, ekonom pasar negara berkembang senior di Commerzbank AG, Singapura.",ekonomi
Herman mengatakan tahun ini berhasil menghimpun 85 persen dari 137.800-an wajib pajak.,ekonomi
"Hingga Agustus 2019, tingkat pengangguran terbuka Jawa Tengah mencapai 820 ribu orang.",ekonomi
"Hingga akhir 2018, Bank BRI telah menyalurkan Rp2,8 triliun ($197 juta) dalam pendanaan sektor energi terbarukan atau naik 81% lebih besar dari tahun 2017.",ekonomi
"Hingga pukul 17:13 WIB, harga minyak mentah berjangka West Texas Intermediate jatuh 2,36% atau 1,29 poin ke posisi US$54,31 per barel.",ekonomi
"Hingga September 2019, realisasi investasi sudah mencapai target 75% atau sekitar Rp601,3 triliun.",ekonomi
Ia juga berharap tercipta lapangan pekerjaan baru di Kota Pariaman melalui OK OCE sehingga dapat meningkatkan ekonomi warga di daerah itu.,ekonomi
"Ia melanjutkan, upaya yang harus dilakukan untuk mengembangkan nilai ekonomi dari masyarakat, salah satunya memperbaiki akses masyarakat ke layanan keuangan.",ekonomi
"Ia mengatakan harga gas tertinggi di Batam saat ini sebesar 7,38 dolar AS per MMBTU.",ekonomi
"Ia mengatakan jika ada peningkatan permintaan, Pertamina Marketing Operation Region IV Jawa Tengah dan Daerah Istimewa Yogyakarta akan memberikan tambahan fakultatif sekitar 3%-4% dari jumlah tersebut.",ekonomi
"Ibarat toko, program penjualan dan diskon harga sejak 4 tahun terakhir tak juga membuat sektor manufaktur Indonesia menarik banyak pembeli.",ekonomi
"ID, JAKARTA – Keinginan Presiden Joko Widodo (Jokowi), Indonesia bisa keluar dari jebatan pendapatan menengah atau middle income trap pada 2045 Rp 27 juta per bulan atau setahun Rp320 juta, dinilai ekonom hanya jualan mimpi.",ekonomi
"ID, JAKARTA - Ketidakpastian ekonomi global imbas perang dagang telah menekan harga minyak sawit mentah atau crude palm oil (CPO).",ekonomi
"ID, MAKASSAR — Dana KSU Bina Duta Pasar Butung diduga telah digelapkan.",ekonomi
